full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"925 Albion Road, Toronto, ON, M9V 1A6",1,NA,NA,NA,1,NA,City Operated
"1485 Albion Road, Toronto, ON, M9V 1B2",NA,NA,NA,NA,1,NA,City Owned
"1515 Albion Road, Toronto, ON, M9V 1B2",1,NA,NA,1,1,NA,City Operated
"21 College Street, Office 610, Toronto, ON, M5G 2B3",1,NA,NA,NA,NA,1,Owned by others
"203 Humber College Boulevard, Toronto, ON, M9W 5L7",NA,NA,NA,NA,1,NA,City Owned
"2534 Kipling Avenue, Toronto, ON, M9V 3A9",NA,NA,NA,NA,1,NA,Owned by others
"2580 Kipling Avenue, Toronto, ON, M9V 3B2",1,NA,NA,NA,1,NA,Owned by others
"175 Mount Olive Drive, Toronto, ON, M9V 2E3",NA,NA,NA,NA,1,NA,City Owned
"21 Panorama Court, Toronto, ON, M9V 4E3",NA,NA,NA,NA,1,NA,City Owned
"10 Rampart Road, Toronto, ON, M9V 4L9",1,NA,NA,NA,1,NA,City Owned
"34 Riverdale Drive, Toronto, ON, M9V 1C8",NA,1,NA,NA,1,1,City Owned
"2 Rowntree Road, Toronto, ON, M9V 5G6",1,NA,NA,NA,1,NA,City Owned
"33 Carlson Court, Toronto, ON, M9W 6H5",NA,NA,NA,NA,1,NA,Owned by others
"650 Dixon Road, Toronto, ON, M9W 1J1",1,NA,NA,NA,1,NA,Owned by others
"650 Dixon Road, Toronto, ON, M9W 1J3",NA,NA,NA,NA,1,NA,Owned by others
"801 Dixon Road, Toronto, ON, M9W 1J5",NA,NA,NA,NA,1,NA,Owned by others
"850 Humberwood Boulevard, Toronto, ON, M9W 7A6",1,NA,NA,1,1,NA,City Owned
"2170 Kipling Avenue, Toronto, ON, M9W 4K9",1,NA,NA,NA,1,NA,Owned by others
"2243 Kipling Avenue, Toronto, ON, M9W 4L3",NA,NA,NA,1,NA,NA,City Owned
"2239 Lawrence Avenue East, Toronto, ON, M1P 2P7",1,NA,NA,NA,1,NA,Owned by others
"555 Rexdale Boulevard, Toronto, ON, M9W 5L2",NA,1,NA,NA,1,NA,Owned by others
"123 Rexdale Boulevard, B, Toronto, ON, M9W 0B1",NA,NA,NA,1,NA,NA,City Owned
"2 St. Andrews Boulevard, Toronto, ON, M6P 2R7",1,NA,NA,NA,1,NA,Owned by others
"31 St. Phillips Road, Toronto, ON, M9P 2N7",1,NA,NA,NA,1,NA,Owned by others
"1 Vulcan St. , Toronto, ON, M9W 1L3",1,NA,NA,NA,NA,NA,Owned by others
"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",NA,NA,NA,1,NA,NA,City Operated
"130 Lloyd Manor Road, Toronto, ON, M9B 5K1",NA,1,NA,NA,1,NA,City Operated
"291 Mill Road, Toronto, ON, M9C 1Y5",1,NA,NA,NA,1,NA,Owned by others
"56 Neilson Drive, Toronto, ON, M9C 1V7",NA,1,NA,NA,1,NA,City Owned
"475 Rathburn Road, Toronto, ON, M9C 3S9",1,NA,NA,NA,1,NA,Owned by others
"590 Rathburn Road, Toronto, ON, M9C 3T3
",NA,NA,NA,NA,1,NA,City Owned
